dataset,sample,sample_label,malignant_threshold,variable,variable_type,n_spots,n_low,n_high,low_snai1ac_threshold,high_snai1ac_threshold,low_mean,high_mean,high_minus_low,cohens_d
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_NOTCH_SIGNALING_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.15787876689155328,-0.2592760363517738,-0.4171548032433271,-0.4113570266893816
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_OXIDATIVE_PHOSPHORYLATION_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.09888335053180819,-0.2291477804923704,-0.3280311310241786,-0.35280367072250807
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_P53_PATHWAY_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,-0.0027201145466687394,-0.3092807556439562,-0.3065606410972874,-0.3340106673969354
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_PANCREAS_BETA_CELLS_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.0006331824029313905,-0.49067485944616934,-0.4913080418491007,-0.5643662021632436
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_PEROXISOME_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,-0.04893545731188429,0.813391325107724,0.8623267824196084,0.9389721447584419
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_PI3K_AKT_MTOR_SIGNALING_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.0646651899585688,-0.11600539820040424,-0.18067058815897305,-0.18254794743899835
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_PROTEIN_SECRETION_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,-0.03639057273385366,0.28069926005160606,0.3170898327854597,0.3574463735383134
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.1516539026678906,-0.7097091774895982,-0.8613630801574887,-1.0302464341731739
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_SPERMATOGENESIS_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,-0.05998594495577135,0.36429748783655486,0.4242834327923262,0.39883445639744114
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_TGF_BETA_SIGNALING_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,-0.00818378177177005,-0.019455460728318955,-0.011271678956548905,-0.011810733392029637
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_TNFA_SIGNALING_VIA_NFKB_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,-0.11733998868041766,0.2775754852905662,0.39491547397098387,0.41468570318886444
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_UNFOLDED_PROTEIN_RESPONSE_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.1893226323840833,-0.02694361650960569,-0.216266248893689,-0.2133831074288304
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_UV_RESPONSE_DN_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,-0.17845085405862557,0.3211668577091351,0.4996177117677607,0.5383976358114102
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_UV_RESPONSE_UP_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,-0.17664911217126136,0.7598865078452111,0.9365356200164724,1.0088224232263332
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_WNT_BETA_CATENIN_SIGNALING_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.00790318550634345,0.5359482816227252,0.5280450961163817,0.5230983937610598
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_XENOBIOTIC_METABOLISM_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.09410106354727613,-0.35494700451111816,-0.44904806805839426,-0.48226697429367177
denisenko_2022,SP8,denisenko_2022__SP8,0.2,b1,ilr_balance,1740,435,435,-0.3248880335556721,1.0024586897727725,7.040973144386959,6.935903923516514,-0.10506922087044579,-0.06911765961851894
denisenko_2022,SP8,denisenko_2022__SP8,0.2,b2,ilr_balance,1740,435,435,-0.3248880335556721,1.0024586897727725,9.636914045720196,4.91611192074117,-4.720802124979026,-1.0917488791495762
denisenko_2022,SP8,denisenko_2022__SP8,0.2,b3,ilr_balance,1740,435,435,-0.3248880335556721,1.0024586897727725,0.7614830801440531,-0.1898146758352842,-0.9512977559793373,-0.4370078285316754
denisenko_2022,SP8,denisenko_2022__SP8,0.2,b4,ilr_balance,1740,435,435,-0.3248880335556721,1.0024586897727725,2.7193173039322427,0.7988706291255012,-1.9204466748067415,-0.5009100145703885
denisenko_2022,SP8,denisenko_2022__SP8,0.2,b5,ilr_balance,1740,435,435,-0.3248880335556721,1.0024586897727725,1.1356886385667797,-0.8283084706051992,-1.963997109171979,-0.4452330341801158
denisenko_2022,SP8,denisenko_2022__SP8,0.2,b6,ilr_balance,1740,435,435,-0.3248880335556721,1.0024586897727725,0.47399094711736467,0.01307729301498248,-0.46091365410238216,-0.11010535485192276
denisenko_2022,SP8,denisenko_2022__SP8,0.2,b7,ilr_balance,1740,435,435,-0.3248880335556721,1.0024586897727725,-1.740846137674775,-1.5059502450528324,0.23489589262194266,0.06455517992688824
denisenko_2022,SP8,denisenko_2022__SP8,0.2,b8,ilr_balance,1740,435,435,-0.3248880335556721,1.0024586897727725,2.8097256541319324,1.3389898928113526,-1.4707357613205798,-0.46239083276372056
